iter	RMSE
0	14.81573271
1	14.4365345
2	14.05231599
3	13.68198743
4	13.353467
5	13.05673067
6	12.75130162
7	12.46608694
8	12.19956623
9	11.90448584
10	11.62728386
11	11.37117893
12	11.15566896
13	10.95368871
14	10.71159073
15	10.47283814
16	10.24513454
17	10.03626055
18	9.818259627
19	9.622988458
20	9.453008889
21	9.270240771
22	9.122084489
23	8.956200044
24	8.797889965
25	8.658873061
26	8.515757986
27	8.388237734
28	8.257462449
29	8.131342801
30	8.015973228
31	7.914234004
32	7.792085135
33	7.696438925
34	7.584414577
35	7.492635228
36	7.398035673
37	7.314267161
38	7.221968722
39	7.143885728
40	7.061477761
41	6.980158677
42	6.901859261
43	6.834766196
44	6.76532915
45	6.697660367
46	6.628873774
47	6.574418402
48	6.513952778
49	6.459335858
50	6.409338838
51	6.359407778
52	6.317740788
53	6.272013091
54	6.229837678
55	6.190197379
56	6.152271715
57	6.119278867
58	6.079885281
59	6.049443205
60	6.018726647
61	5.979571256
62	5.949689772
63	5.917237324
64	5.887759522
65	5.85591482
66	5.827913663
67	5.800866663
68	5.775580749
69	5.750700947
70	5.726778143
71	5.705969782
72	5.685870776
73	5.661533885
74	5.642362048
75	5.622303129
76	5.605084201
77	5.588359684
78	5.571436045
79	5.548660852
80	5.531873061
81	5.515915066
82	5.496581763
83	5.482333156
84	5.469477335
85	5.450473452
86	5.43611642
87	5.425468658
88	5.414704284
89	5.401754058
90	5.38764774
91	5.376484062
92	5.361500586
93	5.351714688
94	5.343613993
95	5.333400841
96	5.324684122
97	5.315602677
98	5.30765282
99	5.298304869
100	5.288471971
101	5.279255526
102	5.270596765
103	5.258017631
104	5.246919356
105	5.241737401
106	5.2356658
107	5.228609655
108	5.221611246
109	5.214248349
110	5.203710054
111	5.197972573
112	5.190610758
113	5.182205063
114	5.175267177
115	5.167513061
116	5.162529378
117	5.157087492
118	5.152042446
119	5.146845571
120	5.139609267
121	5.135993075
122	5.130236842
123	5.120353075
124	5.112212238
125	5.106960178
126	5.103713363
127	5.097351478
128	5.092974609
129	5.089822173
130	5.082511827
131	5.075651217
132	5.065502961
133	5.06051156
134	5.0557301
135	5.049157424
136	5.043379474
137	5.039538745
138	5.034469474
139	5.030885806
140	5.025759492
141	5.021198288
142	5.016558638
143	5.009665306
144	5.005464112
145	5.00154891
146	4.997691384
147	4.995097806
148	4.988619624
149	4.982497529
150	4.976499381
151	4.974149762
152	4.968463456
153	4.964858844
154	4.957813371
155	4.951427899
156	4.944144812
157	4.939454462
158	4.929638945
159	4.926231632
160	4.922151393
161	4.916240983
162	4.909899744
163	4.904086181
164	4.902279414
165	4.897662879
166	4.893914231
167	4.890753758
168	4.885207612
169	4.882712147
170	4.878549954
171	4.875726323
172	4.872115256
173	4.864923988
174	4.855886576
175	4.854220659
176	4.851179015
177	4.84697531
178	4.844867667
179	4.840321959
180	4.833039109
181	4.83103822
182	4.825363552
183	4.819867694
184	4.817951475
185	4.815234037
186	4.808765656
187	4.801803127
188	4.797330663
189	4.794150368
190	4.790359089
191	4.787385378
192	4.785246776
